番号,英文 (English Sentence),日本語文 (Japanese Translation)
1,The factory turns out 800 motorcycles a month. [1],その工場は月に800台のオートバイを生産しています。
2,Would you please turn down the TV a little? [1],テレビの音を少し下げていただけますか？
3,It is impossible for me to finish the work in a day. [1],私がその仕事を一日で終えるのは不可能です。
4,I need to find out exactly what went wrong. [1],何が間違っていたのか正確に突き止める必要があります。
5,It is impossible to exaggerate the importance of education. [1],教育の重要性はいくら強調してもしすぎることはありません。
6,These shoes are expensive and what is more they are too small. [1],この靴は高価ですし、その上サイズが小さすぎます。
7,The other girls are jealous of Lily because she is extremely pretty. [1],リリーは非常にきれいなので、他の女の子たちは彼女をねたんでいます。
8,This book is too difficult for me to understand. [1],この本は私には難しすぎて理解できません。
9,I like to talk about the good old days. [1],私は古き良き時代について話すのが好きです。
10,"It's a strange story but every word of it is true. [1, 3]",奇妙な話ですが、一語一句すべて真実です。
11,There ought to be more buses during the rush hours. [3],ラッシュ時にはもっとバスがあるべきです。
12,This is the same pencil that I lost the other day. [3],これは私が先日なくしたのと同じ鉛筆です。
13,Kate thought the teacher's lecture was dull boring and endless. [3],ケイトは先生の講義が退屈で、つまらなく、終わりのないものだと感じました。
14,I would often visit the museum when I lived in London. [3],ロンドンに住んでいた頃、私はよくその美術館を訪れたものでした。
15,Jack is the most intelligent boy in the class. [3],ジャックはクラスで最も知的な少年です。
16,The singer is famous not only in Korea but also in Europe. [3],その歌手は韓国だけでなくヨーロッパでも有名です。
17,Mike and I had a hamburger this afternoon and we talk. [3],マイクと私は今日の午後ハンバーガーを食べながら話をしました。
18,They deal in fruit and vegetables at that store. [3],あの店では果物と野菜を扱っています。
19,"Because the surroundings were so dark he could not see anything. [3, 4]",周囲がとても暗かったので、彼は何も見ることができませんでした。
20,We can know the past but the future we can only feel. [4],私たちは過去を知ることはできるが、未来はただ感じるしかない。
21,Sally has been on a diet since last month. [4],サリーは先月からダイエットを続けています。
22,If you're drunk don't take the wheel of a car. [4],酔っているなら、車のハンドルを握ってはいけません。
23,Some birds are sitting on the branch of that tree. [4],何羽かの鳥があの木の枝に止まっています。
24,However fast you may walk you can't catch up with him. [4],どんなに速く歩いても、彼には追いつけません。
25,You do such a thing once too often and get punished. [4],そんなことを何度も繰り返していると、罰を受けますよ。
26,My uncle brought a new TV set for us. [4],おじが私たちのために新しいテレビを持ってきてくれました。
27,I think my living with you has influenced your way of living. [4],私があなたと一緒に住んでいることが、あなたの生き方に影響を与えたと思います。
28,The writer is bringing out a new book next month. [4],その作家は来月、新刊を出します。
29,"I never see this picture without thinking of my father. [4, 5]",この写真を見ると必ず父のことを思い出します。
30,This English book is too difficult for me to read. [5],この英語の本は私には難しすぎて読めません。
31,It is outrageous that you should spend so much money. [5],あなたがそんなに多くのお金を使うなんて、とんでもないことです。
32,It is not possible to record in this media. [5],このメディアには記録することができません。
33,That teacher is in charge of the third year class. [5],あの先生は3年生のクラスを担当しています。
34,Someday you will come to realize the importance of saving. [5],いつかあなたも貯金の重要性に気づく時が来るでしょう。
35,There are footprints of a cat on the table. [5],テーブルの上に猫の足跡があります。
36,There was a man and a woman sitting behind me. [5],私の後ろに男女が座っていました。
37,I was caught in the rain and got wet. [5],雨に降られて濡れてしまいました。
38,I hope I can manage to make both ends meet. [5],何とか収支を合わせられる（やりくりできる）といいのですが。
39,Our company needs someone who is at home in advanced technology. [5],我が社は先端技術に精通した人材を必要としています。
40,"Once you have a plan you should keep to it. [5, 6]",一度計画を立てたら、それを守るべきです。
41,Forks and chopsticks became popular because they could easily handle hot food. [6],フォークや箸は、熱い食べ物を簡単に扱えるため普及しました。
42,And just think you're on the other side of the world. [6],考えてもみてください、あなたは世界の反対側にいるのですよ。
43,The burglar tied my hands behind my back with a rope. [6],強盗は私の手をロープで後ろ手に縛りました。
44,You should make as much effort as possible in whatever you do. [6],何をするにしても、できる限りの努力をすべきです。
45,We insist that this project be carried out immediately. [6],私たちはこのプロジェクトが即座に実行されることを主張します。
46,This is the picture i took in his house. [6],これは彼の家で私が撮った写真です。
47,Could you give this data a final check for me. [6],このデータを最後にチェックしてもらえますか？
48,The thief ran away at the sight of a policeman. [6],泥棒は警官を見て逃げ出しました。
49,"This medicine must not be placed within reach of children. [6, 7]",この薬は子供の手の届かないところに置かなければなりません。
50,It is very important to consider the cultural background of the family. [7],その家族の文化的背景を考慮することは非常に重要です。
51,This is the place where she works as a secretary. [7],ここは彼女が秘書として働いている場所です。
52,Bill has a part-time job so that he can buy a car. [7],ビルは車を買うためにアルバイトをしています。
53,You should pay more attention to what he says. [7],彼の言うことにもっと注意を払うべきです。
54,All the dinner had been eaten before he came. [7],彼が来る前に夕食はすべて食べられてしまっていました。
55,I can't put up with that noise any longer. [7],あの騒音にはもうこれ以上耐えられません。
56,I will have to get rid of this worn-out carpet. [7],この使い古したカーペットを処分しなければなりません。
57,The number of students going abroad to study is increasing each year. [7],海外留学する学生の数は年々増加しています。
58,"Please fill out this questionnaire and send it to us. [7, 8]",このアンケートに記入して私たちに送ってください。
59,Direct marketing is a means of allowing people to shop from home. [8],ダイレクトマーケティングは、人々が自宅で買い物をするための手段です。
60,Mary is so nice a girl that she is loved by everybody. [8],メアリーはとても良い子なので、みんなに愛されています。
61,I can't study anywhere in my house it's too noisy. [8],家のどこにいても勉強できません。うるさすぎるのです。
62,You should make sure of the facts before you write something. [8],何かを書く前に、事実を確認すべきです。
63,The post office is a good five kilometers away from here. [8],郵便局はここからたっぷり5キロは離れています。
64,That might be the most painful experience in my life. [8],それは私の人生で最も苦痛な経験かもしれません。
65,Please pick me up at the airport at five. [8],5時に空港へ迎えに来てください。
66,It's next to impossible to finish it in a day. [8],それを一日で終えるのは、ほぼ不可能です。
67,When we were on the brink of starvation they saved our lives. [8],私たちが餓死の寸前だったとき、彼らは命を救ってくれました。
68,"This medicine properly used will do you a lot of good. [8, 9]",この薬を適切に使えば、非常によく効くでしょう。
69,Bob plays not only the guitar but also the flute. [9],ボブはギターだけでなくフルートも演奏します。
70,It is up to you to finish the task. [9],その仕事を終えるのはあなた次第です。
71,I knew it's sudden but this is an important opportunity. [9],急なことだとはわかっていますが、これは重要な機会です。
72,I can't figure out why you don't like jazz. [9],なぜあなたがジャズを嫌いなのか理解できません。
73,If it were not for air and water nothing could live. [9],もし空気と水がなければ、何も生きられないでしょう。
74,Not only bill but also steve is crazy about computers. [9],ビルだけでなくスティーブもコンピュータに夢中です。
75,Tell those people to back off so that the helicopter can land. [9],ヘリコプターが着陸できるように、あの人たちに下がるよう伝えてください。
76,Excuse me but will you show me the way to the station. [9],すみませんが、駅への道を教えていただけますか？
77,Let's put in a lot of time on that project. [9],そのプロジェクトに多くの時間を割きましょう。
78,"I went through my money in a very short time. [9, 10]",短期間でお金を使い果たしてしまいました。
79,You should especially not drink on an empty stomach. [10],特に空腹時にはお酒を飲まないほうがいいです。
80,Indeed he is young but he is well experienced for his age. [10],確かに彼は若いですが、年の割に経験豊富です。
81,Try as you may you can't do it in a day. [10],どんなに頑張っても、それを一日でやることはできません。
82,I'm sorry but i don't feel like going out today. [10],すみませんが、今日は外出する気分ではありません。
83,Would you like to turn it down a little. [10],少し（音などを）下げてもらえますか？
84,I will try to solve the problem at any rate. [10],とにかく、その問題を解決しようと努めます。
85,My year in africa was a very educational experience in many ways. [10],アフリカでの一年は、多くの意味で非常に教育的な経験でした。
86,How would you like to join the dance club. [10],ダンス部に入りませんか？
87,Would you like to make friends with that man. [10],あの男性と友達になりたいですか？
88,"The house stood out because of its unusual shape. [10, 11]",その家は珍しい形をしていたので目立っていました。
89,I met with an old friend of mine at the station. [11],駅で旧友に会いました。
90,Would you show me a less expensive camera than this one. [11],これよりも安いカメラを見せていただけますか？
91,Lincoln is one of the greatest figures in american history. [11],リンカーンはアメリカ史上最も偉大な人物の一人です。
92,There are many kinds of animals inside this enclosure. [11],この囲いの中には多くの種類の動物がいます。
93,To everyone's astonishment mike won first prize in the speech contest. [11],驚いたことに、マイクがスピーチコンテストで優勝しました。
